ID,Cust_ID,Prod_ID,Ship_ID,Order_Date,Ship_Date,Customer_Name,Province,Region,Customer_Segment,Sales,Order_Quantity,Order_Priority,DaysTakenForShipping
1,Cust_1,Prod_1,SHP_1,13/10/2010,20/10/2010,MUHAMMED MACINTYRE,NUNAVUT,NUNAVUT,SMALL BUSINESS,26154,6,LOW,7
10,Cust_10,Prod_3,SHP_13,04/08/2012,04/08/2012,CLAUDIA MINER,NUNAVUT,NUNAVUT,SMALL BUSINESS,8061,15,NOT SPECIFIED,0
100,Cust_58,Prod_8,SHP_138,16/05/2012,17/05/2012,MICHELLE LONSDALE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,12112,3,HIGH,1
1000,Cust_373,Prod_6,SHP_1384,11/12/2009,12/12/2009,SHAUN WEIEN,MANITOBA,PRARIE,HOME OFFICE,33471,25,HIGH,1
1001,Cust_374,Prod_5,SHP_1385,27/09/2009,28/09/2009,MARY O'ROURKE,MANITOBA,PRARIE,HOME OFFICE,198126,49,MEDIUM,1
1002,Cust_375,Prod_15,SHP_1386,26/01/2011,02/02/2011,MARK COUSINS,MANITOBA,PRARIE,HOME OFFICE,175646,15,LOW,7
1003,Cust_376,Prod_9,SHP_1388,13/02/2011,13/02/2011,BRAD NORVELL,MANITOBA,PRARIE,CORPORATE,4904,8,CRITICAL,0
1003,Cust_376,Prod_11,SHP_1388,13/02/2011,13/02/2011,BRAD NORVELL,MANITOBA,PRARIE,CORPORATE,232035,6,CRITICAL,0
1004,Cust_365,Prod_3,SHP_1389,20/07/2012,20/07/2012,PARHENA NORRIS,MANITOBA,PRARIE,HOME OFFICE,13954,26,NOT SPECIFIED,0
1004,Cust_365,Prod_5,SHP_1389,20/07/2012,20/07/2012,PARHENA NORRIS,MANITOBA,PRARIE,HOME OFFICE,19952,28,NOT SPECIFIED,0
1004,Cust_365,Prod_7,SHP_1389,20/07/2012,20/07/2012,PARHENA NORRIS,MANITOBA,PRARIE,HOME OFFICE,8566,39,NOT SPECIFIED,0
1005,Cust_377,Prod_16,SHP_1392,18/01/2010,20/01/2010,CHAD SIEVERT,MANITOBA,PRARIE,CORPORATE,15,1,HIGH,2
1005,Cust_377,Prod_13,SHP_1392,18/01/2010,20/01/2010,CHAD SIEVERT,MANITOBA,PRARIE,CORPORATE,3548,14,HIGH,2
1006,Cust_378,Prod_2,SHP_1393,12/10/2011,13/10/2011,BRIAN DERR,MANITOBA,PRARIE,SMALL BUSINESS,175841,18,NOT SPECIFIED,1
1007,Cust_379,Prod_4,SHP_1394,29/07/2010,30/07/2010,NEIL DUCICH,MANITOBA,PRARIE,HOME OFFICE,2766818,47,HIGH,1
1008,Cust_380,Prod_5,SHP_1395,26/10/2010,31/10/2010,SARAH JORDON,MANITOBA,PRARIE,CONSUMER,68967,38,LOW,5
1009,Cust_366,Prod_6,SHP_1397,04/10/2012,06/10/2012,THEONE PIPPENGER,MANITOBA,PRARIE,CORPORATE,23736,25,NOT SPECIFIED,2
1009,Cust_366,Prod_17,SHP_1397,04/10/2012,06/10/2012,THEONE PIPPENGER,MANITOBA,PRARIE,CORPORATE,221979,30,NOT SPECIFIED,2
101,Cust_73,Prod_4,SHP_139,09/04/2012,11/04/2012,FRANK PRICE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,13648025,29,NOT SPECIFIED,2
101,Cust_73,Prod_1,SHP_139,09/04/2012,11/04/2012,FRANK PRICE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,3002,8,NOT SPECIFIED,2
1010,Cust_366,Prod_5,SHP_1399,07/08/2012,08/08/2012,THEONE PIPPENGER,MANITOBA,PRARIE,CORPORATE,19523,35,HIGH,1
1010,Cust_366,Prod_11,SHP_1399,07/08/2012,08/08/2012,THEONE PIPPENGER,MANITOBA,PRARIE,CORPORATE,40518,35,HIGH,1
1011,Cust_381,Prod_3,SHP_1400,19/02/2011,20/02/2011,MIKE KENNEDY,MANITOBA,PRARIE,SMALL BUSINESS,346597,4,MEDIUM,1
1011,Cust_381,Prod_8,SHP_1400,19/02/2011,20/02/2011,MIKE KENNEDY,MANITOBA,PRARIE,SMALL BUSINESS,130788,13,MEDIUM,1
1012,Cust_382,Prod_3,SHP_1402,24/09/2010,26/09/2010,MICHAEL GRANLUND,MANITOBA,PRARIE,HOME OFFICE,10451,13,CRITICAL,2
1013,Cust_382,Prod_4,SHP_1403,18/12/2009,22/12/2009,MICHAEL GRANLUND,MANITOBA,PRARIE,HOME OFFICE,10647865,12,LOW,4
1014,Cust_368,Prod_5,SHP_1404,12/04/2012,13/04/2012,DANA KAYDOS,MANITOBA,PRARIE,CORPORATE,13109,10,CRITICAL,1
1014,Cust_368,Prod_6,SHP_1404,12/04/2012,13/04/2012,DANA KAYDOS,MANITOBA,PRARIE,CORPORATE,18179,33,CRITICAL,1
1015,Cust_370,Prod_9,SHP_1405,01/06/2009,02/06/2009,NATHAN MAUTZ,MANITOBA,PRARIE,CORPORATE,12406,17,CRITICAL,1
1016,Cust_383,Prod_8,SHP_1406,16/02/2011,18/02/2011,KEN HEIDEL,MANITOBA,PRARIE,CORPORATE,13805,19,LOW,2
1017,Cust_384,Prod_5,SHP_1407,26/02/2012,27/02/2012,ART FERGUSON,MANITOBA,PRARIE,CORPORATE,43344,29,NOT SPECIFIED,1
1018,Cust_362,Prod_3,SHP_1408,10/07/2012,11/07/2012,ROLAND BLACK,MANITOBA,PRARIE,SMALL BUSINESS,5559,8,MEDIUM,1
1019,Cust_385,Prod_4,SHP_1409,17/05/2012,19/05/2012,STEVE CARROLL,MANITOBA,PRARIE,CONSUMER,481049,16,MEDIUM,2
1019,Cust_385,Prod_3,SHP_1409,17/05/2012,19/05/2012,STEVE CARROLL,MANITOBA,PRARIE,CONSUMER,11236,33,MEDIUM,2
102,Cust_43,Prod_6,SHP_140,05/08/2012,07/08/2012,BRYAN DAVIS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,12821,19,MEDIUM,2
1020,Cust_1143,Prod_5,SHP_1410,22/01/2009,22/01/2009,NATHAN MAUTZ,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,403972,44,HIGH,0
1020,Cust_1143,Prod_4,SHP_1410,22/01/2009,22/01/2009,NATHAN MAUTZ,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,2570944,25,HIGH,0
1020,Cust_1143,Prod_3,SHP_1410,22/01/2009,22/01/2009,NATHAN MAUTZ,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,5628,36,HIGH,0
1020,Cust_1143,Prod_8,SHP_1410,22/01/2009,22/01/2009,NATHAN MAUTZ,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,458473,27,HIGH,0
1021,Cust_387,Prod_15,SHP_1411,04/03/2011,06/03/2011,MATT ABELMAN,MANITOBA,PRARIE,HOME OFFICE,554499,43,CRITICAL,2
1022,Cust_363,Prod_4,SHP_1412,22/06/2011,22/06/2011,BART WATTERS,MANITOBA,PRARIE,CORPORATE,20116355,12,CRITICAL,0
1023,Cust_388,Prod_6,SHP_1413,29/06/2009,01/07/2009,NATHAN CANO,MANITOBA,PRARIE,CONSUMER,26059,43,HIGH,2
1024,Cust_373,Prod_3,SHP_1415,27/03/2012,28/03/2012,SHAUN WEIEN,MANITOBA,PRARIE,HOME OFFICE,7527,13,MEDIUM,1
1024,Cust_373,Prod_8,SHP_1415,27/03/2012,28/03/2012,SHAUN WEIEN,MANITOBA,PRARIE,HOME OFFICE,118453,31,MEDIUM,1
1024,Cust_373,Prod_4,SHP_1415,27/03/2012,28/03/2012,SHAUN WEIEN,MANITOBA,PRARIE,HOME OFFICE,368373,35,MEDIUM,1
1025,Cust_376,Prod_9,SHP_1416,03/05/2012,04/05/2012,BRAD NORVELL,MANITOBA,PRARIE,CORPORATE,3648,42,CRITICAL,1
1026,Cust_363,Prod_17,SHP_1417,19/11/2011,26/11/2011,BART WATTERS,MANITOBA,PRARIE,CORPORATE,1560293,48,LOW,7
1027,Cust_366,Prod_10,SHP_1419,13/11/2010,14/11/2010,THEONE PIPPENGER,MANITOBA,PRARIE,CORPORATE,111882,8,MEDIUM,1
1027,Cust_366,Prod_7,SHP_1419,13/11/2010,14/11/2010,THEONE PIPPENGER,MANITOBA,PRARIE,CORPORATE,7975,48,MEDIUM,1
1028,Cust_384,Prod_9,SHP_1420,02/12/2012,02/12/2012,ART FERGUSON,MANITOBA,PRARIE,CORPORATE,40717,36,NOT SPECIFIED,0
1028,Cust_384,Prod_11,SHP_1420,02/12/2012,02/12/2012,ART FERGUSON,MANITOBA,PRARIE,CORPORATE,1000628,36,NOT SPECIFIED,0
1029,Cust_389,Prod_2,SHP_1422,29/10/2010,29/10/2010,DENNIS BOLTON,MANITOBA,PRARIE,SMALL BUSINESS,19993,14,HIGH,0
103,Cust_48,Prod_3,SHP_141,22/07/2009,23/07/2009,DON JONES,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,25279,9,NOT SPECIFIED,1
1030,Cust_374,Prod_1,SHP_1423,23/02/2009,24/02/2009,MARY O'ROURKE,MANITOBA,PRARIE,HOME OFFICE,83481,22,CRITICAL,1
1031,Cust_390,Prod_9,SHP_1424,20/05/2010,21/05/2010,JOEL JENKINS,MANITOBA,PRARIE,CORPORATE,33535,39,NOT SPECIFIED,1
1031,Cust_390,Prod_6,SHP_1424,20/05/2010,21/05/2010,JOEL JENKINS,MANITOBA,PRARIE,CORPORATE,14831,20,NOT SPECIFIED,1
1032,Cust_391,Prod_2,SHP_1425,26/07/2009,29/07/2009,MEG O'CONNEL,MANITOBA,PRARIE,CORPORATE,192583,10,NOT SPECIFIED,3
1033,Cust_392,Prod_2,SHP_1426,05/09/2012,07/09/2012,HALLIE REDMOND,MANITOBA,PRARIE,HOME OFFICE,6051,15,NOT SPECIFIED,2
1034,Cust_393,Prod_3,SHP_1427,25/07/2011,27/07/2011,LIZ THOMPSON,MANITOBA,PRARIE,CORPORATE,1135,15,HIGH,2
1035,Cust_394,Prod_8,SHP_1429,08/09/2011,09/09/2011,ROBERT WALDORF,MANITOBA,PRARIE,HOME OFFICE,35743,17,HIGH,1
1035,Cust_394,Prod_1,SHP_1429,08/09/2011,09/09/2011,ROBERT WALDORF,MANITOBA,PRARIE,HOME OFFICE,475408,21,HIGH,1
1036,Cust_395,Prod_17,SHP_1430,16/12/2009,18/12/2009,HELEN ANDREADA,MANITOBA,PRARIE,CORPORATE,160132,13,HIGH,2
1037,Cust_396,Prod_6,SHP_1431,17/08/2010,18/08/2010,JULIA DUNBAR,MANITOBA,PRARIE,CONSUMER,26475,43,CRITICAL,1
1038,Cust_397,Prod_5,SHP_1432,13/11/2010,14/11/2010,CHRISTINE SUNDARESAM,MANITOBA,PRARIE,SMALL BUSINESS,336724,44,NOT SPECIFIED,1
1038,Cust_397,Prod_11,SHP_1432,13/11/2010,14/11/2010,CHRISTINE SUNDARESAM,MANITOBA,PRARIE,SMALL BUSINESS,572324,37,NOT SPECIFIED,1
1039,Cust_398,Prod_6,SHP_1434,23/03/2010,24/03/2010,BRUCE STEWART,MANITOBA,PRARIE,CORPORATE,18807,27,HIGH,1
104,Cust_62,Prod_16,SHP_142,09/05/2010,11/05/2010,CARLOS SOLTERO,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,1041999,1,NOT SPECIFIED,2
104,Cust_62,Prod_13,SHP_142,09/05/2010,11/05/2010,CARLOS SOLTERO,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,5097,10,NOT SPECIFIED,2
1040,Cust_396,Prod_3,SHP_1436,24/12/2010,25/12/2010,JULIA DUNBAR,MANITOBA,PRARIE,CONSUMER,128128,43,CRITICAL,1
1040,Cust_396,Prod_4,SHP_1436,24/12/2010,25/12/2010,JULIA DUNBAR,MANITOBA,PRARIE,CONSUMER,430848,4,CRITICAL,1
1040,Cust_396,Prod_11,SHP_1436,24/12/2010,25/12/2010,JULIA DUNBAR,MANITOBA,PRARIE,CONSUMER,194031,13,CRITICAL,1
1041,Cust_399,Prod_5,SHP_1438,21/11/2010,22/11/2010,GUY THORNTON,MANITOBA,PRARIE,CORPORATE,93321,40,MEDIUM,1
1042,Cust_395,Prod_10,SHP_1439,07/02/2010,09/02/2010,HELEN ANDREADA,MANITOBA,PRARIE,CORPORATE,74825,10,CRITICAL,2
1043,Cust_400,Prod_9,SHP_1440,08/05/2009,10/05/2009,MARY ZEWE,MANITOBA,PRARIE,CORPORATE,26039,15,HIGH,2
1044,Cust_391,Prod_5,SHP_1442,01/05/2011,03/05/2011,MEG O'CONNEL,MANITOBA,PRARIE,CORPORATE,34364,41,CRITICAL,2
1044,Cust_391,Prod_10,SHP_1442,01/05/2011,03/05/2011,MEG O'CONNEL,MANITOBA,PRARIE,CORPORATE,390412,50,CRITICAL,2
1045,Cust_391,Prod_7,SHP_1443,01/05/2011,08/05/2011,MEG O'CONNEL,MANITOBA,PRARIE,CORPORATE,25664,42,LOW,7
1046,Cust_391,Prod_6,SHP_1445,29/07/2009,31/07/2009,MEG O'CONNEL,MANITOBA,PRARIE,CORPORATE,22598,34,CRITICAL,2
1046,Cust_391,Prod_3,SHP_1445,29/07/2009,31/07/2009,MEG O'CONNEL,MANITOBA,PRARIE,CORPORATE,18564,25,CRITICAL,2
1047,Cust_1145,Prod_5,SHP_1446,08/11/2010,09/11/2010,KEN LONSDALE,NEW BRUNSWICK,ATLANTIC,CONSUMER,1673,1,HIGH,1
1047,Cust_1145,Prod_17,SHP_1446,08/11/2010,09/11/2010,KEN LONSDALE,NEW BRUNSWICK,ATLANTIC,CONSUMER,668811,45,HIGH,1
1048,Cust_401,Prod_3,SHP_1447,30/08/2012,31/08/2012,KEN LONSDALE,MANITOBA,PRARIE,CONSUMER,5188,17,CRITICAL,1
1049,Cust_397,Prod_3,SHP_1448,06/09/2009,08/09/2009,CHRISTINE SUNDARESAM,MANITOBA,PRARIE,SMALL BUSINESS,4267,10,LOW,2
105,Cust_74,Prod_11,SHP_144,18/02/2009,18/02/2009,NICOLE HANSEN,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,174964,8,NOT SPECIFIED,0
105,Cust_74,Prod_15,SHP_144,18/02/2009,18/02/2009,NICOLE HANSEN,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,1055463,30,NOT SPECIFIED,0
1050,Cust_402,Prod_5,SHP_1449,12/12/2010,13/12/2010,MARIA BERTELSON,MANITOBA,PRARIE,HOME OFFICE,69088,32,MEDIUM,1
1051,Cust_401,Prod_8,SHP_1450,02/06/2012,02/06/2012,KEN LONSDALE,MANITOBA,PRARIE,CONSUMER,82424,32,NOT SPECIFIED,0
1052,Cust_398,Prod_3,SHP_1451,05/02/2011,06/02/2011,BRUCE STEWART,MANITOBA,PRARIE,CORPORATE,43847,14,NOT SPECIFIED,1
1053,Cust_402,Prod_16,SHP_1454,14/12/2010,15/12/2010,MARIA BERTELSON,MANITOBA,PRARIE,HOME OFFICE,26278,23,NOT SPECIFIED,1
1053,Cust_402,Prod_1,SHP_1454,14/12/2010,15/12/2010,MARIA BERTELSON,MANITOBA,PRARIE,HOME OFFICE,14215,10,NOT SPECIFIED,1
1053,Cust_402,Prod_6,SHP_1454,14/12/2010,15/12/2010,MARIA BERTELSON,MANITOBA,PRARIE,HOME OFFICE,29347,45,NOT SPECIFIED,1
1053,Cust_402,Prod_8,SHP_1454,14/12/2010,15/12/2010,MARIA BERTELSON,MANITOBA,PRARIE,HOME OFFICE,23072,11,NOT SPECIFIED,1
1053,Cust_402,Prod_13,SHP_1454,14/12/2010,15/12/2010,MARIA BERTELSON,MANITOBA,PRARIE,HOME OFFICE,887,33,NOT SPECIFIED,1
1054,Cust_391,Prod_3,SHP_1455,04/04/2012,06/04/2012,MEG O'CONNEL,MANITOBA,PRARIE,CORPORATE,33022,21,NOT SPECIFIED,2
1055,Cust_402,Prod_3,SHP_1456,30/05/2010,01/06/2010,MARIA BERTELSON,MANITOBA,PRARIE,HOME OFFICE,32171,6,NOT SPECIFIED,2
1056,Cust_395,Prod_6,SHP_1457,30/10/2012,30/10/2012,HELEN ANDREADA,MANITOBA,PRARIE,CORPORATE,71841,23,NOT SPECIFIED,0
1056,Cust_395,Prod_2,SHP_1457,30/10/2012,30/10/2012,HELEN ANDREADA,MANITOBA,PRARIE,CORPORATE,519812,48,NOT SPECIFIED,0
1057,Cust_403,Prod_5,SHP_1460,05/12/2009,12/12/2009,BRIAN THOMPSON,MANITOBA,PRARIE,HOME OFFICE,43698,35,LOW,7
1058,Cust_404,Prod_1,SHP_1463,22/07/2010,22/07/2010,HALLIE REDMOND,MANITOBA,PRARIE,SMALL BUSINESS,355529,19,NOT SPECIFIED,0
1058,Cust_404,Prod_5,SHP_1463,22/07/2010,22/07/2010,HALLIE REDMOND,MANITOBA,PRARIE,SMALL BUSINESS,145248,24,NOT SPECIFIED,0
1058,Cust_404,Prod_8,SHP_1463,22/07/2010,22/07/2010,HALLIE REDMOND,MANITOBA,PRARIE,SMALL BUSINESS,13668,4,NOT SPECIFIED,0
1059,Cust_393,Prod_7,SHP_1464,21/02/2010,22/02/2010,LIZ THOMPSON,MANITOBA,PRARIE,CORPORATE,7112,38,MEDIUM,1
106,Cust_67,Prod_4,SHP_145,27/06/2012,28/06/2012,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,6175777,49,HIGH,1
106,Cust_67,Prod_5,SHP_145,27/06/2012,28/06/2012,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,194372,47,HIGH,1
106,Cust_67,Prod_13,SHP_145,27/06/2012,28/06/2012,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,1837,6,HIGH,1
1060,Cust_405,Prod_5,SHP_1466,12/12/2010,13/12/2010,JASON GROSS,MANITOBA,PRARIE,SMALL BUSINESS,69109,9,HIGH,1
1060,Cust_405,Prod_13,SHP_1466,12/12/2010,13/12/2010,JASON GROSS,MANITOBA,PRARIE,SMALL BUSINESS,7137,33,HIGH,1
1061,Cust_397,Prod_8,SHP_1467,05/06/2011,06/06/2011,CHRISTINE SUNDARESAM,MANITOBA,PRARIE,SMALL BUSINESS,3333,15,HIGH,1
1062,Cust_397,Prod_3,SHP_1468,21/11/2010,22/11/2010,CHRISTINE SUNDARESAM,MANITOBA,PRARIE,SMALL BUSINESS,14931,27,NOT SPECIFIED,1
1063,Cust_406,Prod_6,SHP_1469,18/12/2011,20/12/2011,KATRINA BAVINGER,MANITOBA,PRARIE,CONSUMER,543,6,CRITICAL,2
1064,Cust_404,Prod_17,SHP_1470,03/04/2010,04/04/2010,HALLIE REDMOND,MANITOBA,PRARIE,SMALL BUSINESS,140986,1,CRITICAL,1
1065,Cust_407,Prod_15,SHP_1471,11/01/2012,11/01/2012,MARIA BERTELSON,MANITOBA,PRARIE,CORPORATE,984311,35,LOW,0
1065,Cust_407,Prod_17,SHP_1471,11/01/2012,11/01/2012,MARIA BERTELSON,MANITOBA,PRARIE,CORPORATE,719006,15,LOW,0
